,행정구역명,기준일,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,기준월,기준년
0,건입동,2018-01-01,9800,4324,2.27,5085,4715,1.08,1,2018
1,건입동,2018-02-01,9814,4334,2.26,5090,4724,1.08,2,2018
2,건입동,2018-03-01,9783,4327,2.26,5072,4711,1.08,3,2018
3,건입동,2018-04-01,9788,4327,2.26,5070,4718,1.07,4,2018
4,건입동,2018-05-01,9800,4328,2.26,5070,4730,1.07,5,2018
5,건입동,2018-06-01,9782,4320,2.26,5059,4723,1.07,6,2018
6,건입동,2018-07-01,9775,4317,2.26,5050,4725,1.07,7,2018
7,건입동,2018-08-01,9756,4303,2.27,5038,4718,1.07,8,2018
8,건입동,2018-09-01,9729,4289,2.27,5025,4704,1.07,9,2018
9,건입동,2018-10-01,9702,4262,2.28,5008,4694,1.07,10,2018
10,건입동,2018-11-01,9658,4253,2.27,4982,4676,1.07,11,2018
11,건입동,2018-12-01,9610,4235,2.27,4951,4659,1.06,12,2018
12,건입동,2019-01-01,9506,4209,2.26,4896,4610,1.06,1,2019
13,건입동,2019-02-01,9457,4197,2.25,4867,4590,1.06,2,2019
14,건입동,2019-03-01,9456,4192,2.26,4864,4592,1.06,3,2019
15,건입동,2019-04-01,9463,4197,2.25,4867,4596,1.06,4,2019
16,건입동,2019-05-01,9419,4176,2.26,4853,4566,1.06,5,2019
17,건입동,2019-06-01,9417,4174,2.26,4853,4564,1.06,6,2019
18,건입동,2019-07-01,9408,4161,2.26,4851,4557,1.06,7,2019
19,건입동,2019-08-01,9380,4155,2.26,4828,4552,1.06,8,2019
20,건입동,2019-09-01,9380,4165,2.25,4819,4561,1.06,9,2019
21,건입동,2019-10-01,9359,4160,2.25,4796,4563,1.05,10,2019
22,건입동,2019-11-01,9335,4158,2.25,4776,4559,1.05,11,2019
23,건입동,2019-12-01,9311,4163,2.24,4774,4537,1.05,12,2019
24,건입동,2020-01-01,9230,4137,2.23,4721,4509,1.05,1,2020
25,건입동,2020-02-01,9209,4125,2.23,4705,4504,1.04,2,2020
26,건입동,2020-03-01,9202,4127,2.23,4694,4508,1.04,3,2020
27,건입동,2020-04-01,9170,4122,2.22,4680,4490,1.04,4,2020
28,건입동,2020-05-01,9164,4146,2.21,4678,4486,1.04,5,2020
29,건입동,2020-06-01,9150,4154,2.2,4670,4480,1.04,6,2020
30,건입동,2020-07-01,9136,4147,2.2,4659,4477,1.04,7,2020
31,건입동,2020-08-01,9116,4144,2.2,4648,4468,1.04,8,2020
32,건입동,2020-09-01,9101,4149,2.19,4637,4464,1.04,9,2020
33,건입동,2020-10-01,9110,4160,2.19,4647,4463,1.04,10,2020
34,건입동,2020-11-01,9101,4158,2.19,4646,4455,1.04,11,2020
35,건입동,2020-12-01,9091,4152,2.19,4641,4450,1.04,12,2020
36,건입동,2021-01-01,9042,4134,2.19,4610,4432,1.04,1,2021
37,건입동,2021-02-01,8984,4119,2.18,4577,4407,1.04,2,2021
38,건입동,2021-03-01,8917,4062,2.2,4527,4390,1.03,3,2021
39,건입동,2021-04-01,8922,4083,2.19,4538,4384,1.04,4,2021
40,건입동,2021-05-01,8900,4081,2.18,4520,4380,1.03,5,2021
41,건입동,2021-06-01,8883,4084,2.18,4512,4371,1.03,6,2021
42,건입동,2021-07-01,8894,4095,2.17,4527,4367,1.04,7,2021
43,건입동,2021-08-01,8899,4096,2.17,4520,4379,1.03,8,2021
44,구좌읍,2018-01-01,15574,7493,2.08,7965,7609,1.05,1,2018
45,구좌읍,2018-02-01,15610,7505,2.08,7996,7614,1.05,2,2018
46,구좌읍,2018-03-01,15596,7513,2.08,8002,7594,1.05,3,2018
47,구좌읍,2018-04-01,15608,7533,2.07,8015,7593,1.06,4,2018
